Id,AppId,PackageIdHash,AppActivityId,ActivityType,ActivityStatus,ParentActivityId,Tag,Group,MatchId,LastModifiedTime,ExpirationTime,Payload,Priority,IsLocalOnly,PlatformDeviceId,CreatedInCloud,StartTime,EndTime,LastModifiedOnClient,GroupAppActivityId,ClipboardPayload,EnterpriseId,OriginalPayload,OriginalLastModifiedOnClient,ETag
b'\x1e\x1aNw`\xb8\x08\xef%\x1f\x89\xf9P\x19ho',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530871858,1533463858,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":544,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530871850,1530872430,1530872430,,,,,,13594
b'\x8ev/6w\x19/\xa9\x17\xc6H\xcaR|\xe0v',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530871875,1533463875,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":3,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530871872,1530871875,1530871875,,,,,,13576
"b'\xe2\xe0v\xc9\xb86\xab""I\x94\x8b\x18\x0c\x9a1\xaf'","[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530877496,1533469496,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":31,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530877465,1530877496,1530877496,,,,,,13600
b'\xb1\x03\x0b\x02xw\xfc\x96\x90p]UG>\x11\xfc',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530923943,1533515943,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":8,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530923935,1530923943,1530923943,,,,,,13606
b'\x10\xc3\xba\xc8\x08|\x8f\r\xfb\x84\xd1\xe8\x00\x9eI\x17',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530923950,1533515950,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":7,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530923943,1530923950,1530923950,,,,,,13609
b'S]X\xb6\x836\xebd\xa4\xc7\x7f\xbd\x99\x8dXl',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530923984,1533515984,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":501,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530923934,1530924515,1530924515,,,,,,13622
b'\x8d\xd9\xf1\xad\xa8\xed\xd4P\xae}\t\xce\xfa \xc9\xcb',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Fortinet\\FortiClient\\FortiClient.exe"",""platform"":""windows_win32""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Fortinet\\FortiClient\\FortiClient.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",G8SR4wYbYZCrBP3Uu6X7Y64imJVD/mF5WThDaqWZdOQ=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530924480,1535092657,"b'{""displayText"":""FortiClient"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""FortiClient"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530924480,0,1530924480,,,,,,18060
"b""'\xa6\xd5\xef4\xb2&\xe0S\xc1Y\x89\xa2#\x03\xb6""","[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Fortinet\\FortiClient\\FortiClient.exe"",""platform"":""windows_win32""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Fortinet\\FortiClient\\FortiClient.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",G8SR4wYbYZCrBP3Uu6X7Y64imJVD/mF5WThDaqWZdOQ=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530924507,1533516507,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":29,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530924480,1530924545,1530924545,,,,,,13625
b'IE3\x82d/\x11<\xfe\xdb\xae\xcd\x98\x02K\x99',"[{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",+Rhh3tl8qBdVmy46BEH12PH5tOtjDJ2Z8d1L+KHqb04=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530924551,1535092678,"b'{""displayText"":""Remote Desktop Connection"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Remote Desktop Connection"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530924551,0,1530924551,,,,,,18066
b'\xe5qD\xe5\x8e\xff\xc6Q\xceA>\xde\xff\xae\n\xb7',"[{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",+Rhh3tl8qBdVmy46BEH12PH5tOtjDJ2Z8d1L+KHqb04=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530924587,1533516587,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":36,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530924551,1530924587,1530924587,,,,,,13629
"b'5S3\\,PS\xd1\xb2\x0e\xc7\xd6{\xa3\xb0y'","[{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",+Rhh3tl8qBdVmy46BEH12PH5tOtjDJ2Z8d1L+KHqb04=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530925209,1533517209,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":1102,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530924587,1530925738,1530925738,,,,,,13662
b'z\xcf\xbe\x1aKAy-/\xf0\xd1\xb9Q\x84\xd9\xac',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530925214,1533517214,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":1327,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530925209,1530927388,1530927388,,,,,,13732
b'r\xc1\x1a-\xd0\xf1\xd1\xb8\xdb\x87\x9f\x96M*0K',"[{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.RemoteDesktop"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",+Rhh3tl8qBdVmy46BEH12PH5tOtjDJ2Z8d1L+KHqb04=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530926428,1533518428,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":4475,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530926368,1530932628,1530932628,,,,,,13798
"b""U~}'\x1a\xa3R\xffa\xf50;\xab\xc0\xaa\x7f""","[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",W2uvLYF2TvPBARmWDeDJJluRdkhj2mxrr07zegJud1k=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530927098,1533519098,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530927096,1530927098,1530927098,,,,,,13683
